Sl.,Grade,Subject,Chapter No.,Chapter,Section Number,Section,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
263,9,Social,8,Building Blocks in Economics: The Problem of Choice,,Scarcity and the Problem of Choice,Which Ministry in India is responsible for preparing and presenting the annual Economic Survey of India in Parliament?,The Ministry of External Affairs,The Ministry of Finance,The Ministry of Earth Sciences,The Ministry of Human Resource Development,B,2
218,6,Social,3,Landforms and Life,2,"Mountains: Features, Ranges and Wildlife","Which mountain range includes Mount Everest and Kanchenjunga, the two highest peaks mentioned in the chapter?",The Alps,The Aravalli Range,The Himalayas,The Andes,C,1
1011,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17273]",Three circles,One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,D,2
1012,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17291]",Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,B,2
1013,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17309]",Three circles,One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,D,2
1014,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17327]",Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,B,2
1015,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17345]",Three circles,One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,D,2
1016,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17363]",Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,B,2
1017,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17381]",Three circles,One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,D,2
1018,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17399]",Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,B,2
1019,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17417]",Three circles,One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,D,2
1020,8,Mathematics,4,Exploring Some Geometric Themes,4.1,Fractals,"Which net can fold into a cube? [Source hegp204.pdf, case 17435]",Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,B,2
1061,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18154]",One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,C,2
1062,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18172]",Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,Two unrelated rectangles,A,2
1063,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18190]",One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,C,2
1064,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18208]",Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,Two unrelated rectangles,A,2
1065,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18226]",One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,C,2
1066,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18244]",Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,Two unrelated rectangles,A,2
1067,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18262]",One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,C,2
1068,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18280]",Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,Two unrelated rectangles,A,2
1069,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18298]",One triangle only,Two unrelated rectangles,Six equal squares joined edge to edge in a valid arrangement,Three circles,C,2
1070,8,Mathematics,4,Exploring Some Geometric Themes,4.2,Visualising Solids,"Which net can fold into a cube? [Source hegp204.pdf, case 18316]",Six equal squares joined edge to edge in a valid arrangement,Three circles,One triangle only,Two unrelated rectangles,A,2
4,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 114]",50,56,49,48,C,1
68,8,Mathematics,1,A Square and a Cube,1.3,A Pinch of History,"Which number is a perfect square? [Source hegp101.pdf, case 1261]",48,50,56,49,D,1
69,8,Mathematics,1,A Square and a Cube,1.3,A Pinch of History,"Which number is a perfect square? [Source hegp101.pdf, case 1279]",56,49,48,50,B,1
70,8,Mathematics,1,A Square and a Cube,1.3,A Pinch of History,"Which number is a perfect square? [Source hegp101.pdf, case 1297]",48,50,56,49,D,1
71,8,Mathematics,1,A Square and a Cube,1.3,A Pinch of History,"Which number is a perfect square? [Source hegp101.pdf, case 1315]",56,49,48,50,B,1
5,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 132]",49,48,50,56,A,1
72,8,Mathematics,1,A Square and a Cube,1.3,A Pinch of History,"Which number is a perfect square? [Source hegp101.pdf, case 1333]",48,50,56,49,D,1
73,8,Mathematics,1,A Square and a Cube,1.3,A Pinch of History,"Which number is a perfect square? [Source hegp101.pdf, case 1351]",56,49,48,50,B,1
6,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 150]",50,56,49,48,C,1
7,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 168]",49,48,50,56,A,1
1,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 60]",49,48,50,56,A,1
35,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 669]",48,50,56,49,D,1
36,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 687]",56,49,48,50,B,1
37,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 705]",48,50,56,49,D,1
38,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 723]",56,49,48,50,B,1
39,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 741]",48,50,56,49,D,1
40,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 759]",56,49,48,50,B,1
41,8,Mathematics,1,A Square and a Cube,1.2,Cubic Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 777]",48,50,56,49,D,1
2,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 78]",50,56,49,48,C,1
3,8,Mathematics,1,A Square and a Cube,1.1,Square Numbers,"Which number is a perfect square? [Source hegp101.pdf, case 96]",49,48,50,56,A,1
204,9,Mathematics,3,The World of Numbers,3.1,The Dawn of Mathematics: The Human Need to Count,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 3934]",5-Mar,sqrt(2),-4,0,C,2
205,9,Mathematics,3,The World of Numbers,3.1,The Dawn of Mathematics: The Human Need to Count,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 3954]",5-Mar,sqrt(2),-4,0,C,2
206,9,Mathematics,3,The World of Numbers,3.1,The Dawn of Mathematics: The Human Need to Count,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 3974]",5-Mar,sqrt(2),-4,0,C,2
219,9,Mathematics,3,The World of Numbers,3.2,The Revolution of Shunya: When Nothing Became a Number,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4242]",5-Mar,sqrt(2),-4,0,C,2
220,9,Mathematics,3,The World of Numbers,3.2,The Revolution of Shunya: When Nothing Became a Number,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4262]",5-Mar,sqrt(2),-4,0,C,2
221,9,Mathematics,3,The World of Numbers,3.2,The Revolution of Shunya: When Nothing Became a Number,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4282]",5-Mar,sqrt(2),-4,0,C,2
234,9,Mathematics,3,The World of Numbers,3.3,Integers: Expanding the Horizon,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4550]",5-Mar,sqrt(2),-4,0,C,2
235,9,Mathematics,3,The World of Numbers,3.3,Integers: Expanding the Horizon,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4570]",5-Mar,sqrt(2),-4,0,C,2
236,9,Mathematics,3,The World of Numbers,3.3,Integers: Expanding the Horizon,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4590]",5-Mar,sqrt(2),-4,0,C,2
248,9,Mathematics,3,The World of Numbers,3.4,Filling the Spaces: Fractions and Rational Numbers,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4839]",sqrt(2),-4,0,5-Mar,B,2
249,9,Mathematics,3,The World of Numbers,3.4,Filling the Spaces: Fractions and Rational Numbers,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4859]",sqrt(2),-4,0,5-Mar,B,2
250,9,Mathematics,3,The World of Numbers,3.4,Filling the Spaces: Fractions and Rational Numbers,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 4879]",sqrt(2),-4,0,5-Mar,B,2
262,9,Mathematics,3,The World of Numbers,3.5,Irrational Numbers,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5128]",-4,0,5-Mar,sqrt(2),A,2
263,9,Mathematics,3,The World of Numbers,3.5,Irrational Numbers,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5148]",-4,0,5-Mar,sqrt(2),A,2
264,9,Mathematics,3,The World of Numbers,3.5,Irrational Numbers,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5168]",-4,0,5-Mar,sqrt(2),A,2
276,9,Mathematics,3,The World of Numbers,3.6,Real Numbers: Decimals and Cyclic Patterns,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5417]",0,5-Mar,sqrt(2),-4,D,2
277,9,Mathematics,3,The World of Numbers,3.6,Real Numbers: Decimals and Cyclic Patterns,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5437]",0,5-Mar,sqrt(2),-4,D,2
289,9,Mathematics,3,The World of Numbers,3.7,Conclusion: The Never-Ending Journey,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5687]",sqrt(2),-4,0,5-Mar,B,2
290,9,Mathematics,3,The World of Numbers,3.7,Conclusion: The Never-Ending Journey,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5707]",sqrt(2),-4,0,5-Mar,B,2
291,9,Mathematics,3,The World of Numbers,3.7,Conclusion: The Never-Ending Journey,"Which number is an integer but not a whole number? [Source iemh103.pdf, case 5727]",sqrt(2),-4,0,5-Mar,B,2
901,6,Mathematics,10,The Other Side of Zero,10.1,Bela's Building of Fun,Which number is less than zero?,2,5,-3,0,C,1
902,6,Mathematics,10,The Other Side of Zero,10.1,Bela's Building of Fun,Which number is less than zero? Consider case 10-10.1-1-2.,5,-3,0,2,B,1
903,6,Mathematics,10,The Other Side of Zero,10.1,Bela's Building of Fun,Which number is less than zero? Consider case 10-10.1-1-3.,-3,0,2,5,A,1
904,6,Mathematics,10,The Other Side of Zero,10.1,Bela's Building of Fun,Which number is less than zero? Consider case 10-10.1-1-4.,0,2,5,-3,D,1
981,6,Mathematics,10,The Other Side of Zero,10.5,A Pinch of History,Which number is less than zero? Consider case 10-10.5-1-5.,2,5,-3,0,C,1
982,6,Mathematics,10,The Other Side of Zero,10.5,A Pinch of History,Which number is less than zero? Consider case 10-10.5-1-6.,5,-3,0,2,B,1
983,6,Mathematics,10,The Other Side of Zero,10.5,A Pinch of History,Which number is less than zero? Consider case 10-10.5-1-7.,-3,0,2,5,A,1
984,6,Mathematics,10,The Other Side of Zero,10.5,A Pinch of History,Which number is less than zero? Consider case 10-10.5-1-8.,0,2,5,-3,D,1
228,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits?,517,527,518,617,A,1
229,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-1-2.,538,529,628,528,D,1
230,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-2-3.,550,560,551,650,A,2
231,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-3-4.,583,593,584,683,A,3
232,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-3-5.,604,595,694,594,D,3
233,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-4-6.,616,626,617,716,A,4
234,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-4-7.,637,628,727,627,D,4
235,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-5-8.,649,659,650,749,A,5
236,6,Mathematics,3,Number Play,3.4,Playing with Digits,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.4-5-9.,670,661,760,660,D,5
237,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-1-10.,738,638,648,639,B,1
238,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-2-11.,771,671,681,672,B,2
239,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-2-12.,682,692,683,782,A,2
240,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-3-13.,804,704,714,705,B,3
241,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-3-14.,715,725,716,815,A,3
242,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-4-15.,837,737,747,738,B,4
243,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-4-16.,748,758,749,848,A,4
244,6,Mathematics,3,Number Play,3.5,Pretty Palindromic Patterns,Which number reads the same forward and backward like patterns in digits? Consider case 3-3.5-5-17.,870,770,780,771,B,5
129,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray?,A segment between two marked points,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,B,1
130,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-1-2.,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,A segment between two marked points,A,1
131,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-2-3.,A segment between two marked points,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,B,2
132,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-2-4.,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,A segment between two marked points,A,2
133,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-3-5.,A segment between two marked points,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,B,3
134,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-4-6.,A segment between two marked points,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,B,4
135,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-4-7.,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,A segment between two marked points,A,4
136,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-5-8.,A segment between two marked points,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,B,5
137,6,Mathematics,2,Lines and Angles,2.4,Ray,Which object gives a good idea of a ray? Consider case 2-2.4-5-9.,A beam of light starting at a point and going in one direction,A closed rectangle,A dot made by a pencil tip,A segment between two marked points,A,5
232,6,Social,3,Landforms and Life,3,Life in the Mountains,Which occupation is preferred over agriculture in many mountainous regions of the world?,Herding,River navigation,River fishing,Mining,A,1
133,6,Social,2,Oceans and Continents,3,The Five Oceans,Which ocean does the chapter describe as the smallest of the five oceans?,The Arctic Ocean,The Southern Ocean,The Indian Ocean,The Atlantic Ocean,A,1
90,9,Science,9,Atomic Foundations of Matter,,Laws of Chemical Combination and Dalton's Theory,"Which of Dalton's postulates had to be modified or discarded after the discovery of isotopes and subatomic particles (electrons, protons, and neutrons)?",The relative number and kinds of atoms are constant in a given compound.,Atoms combine in simple whole-number ratios to form compounds.,Chemical reactions involve reorganization of atoms.,Atoms are indivisible particles and all atoms of a given element are identical in mass.,D,5
1053,6,Science,11,Nature’s Treasures,11.5,"Soil, Rocks and Minerals",Which of the following are described in the chapter as natural agents that help in turning and loosening the soil?,Rocks,Minerals,Earthworms,Windmills,C,1
5,9,Science,1,Exploration: Entering the World of Secondary Science,1.1,Scientific Models and Assumptions,Which of the following best analyzes the stellar model proposed by Meghnad Saha to link a star's color to its temperature?,He modeled every single atomic collision and individual reaction inside the star to calculate the precise surface color.,"He treated the star as a single point-particle orbiting the Sun, neglecting all internal gas temperature and pressure.","He treated the stellar matter as a hot gas, ignored complex processes, and focused only on temperature, pressure, and ion formation.","He assumed that stars are solid, cold, smooth spheres made of dense silicate rocks.",C,5
1,9,Social,1,Understanding Social Science,,What is Social Science?,Which of the following best defines Social Science according to the textbook?,The study of the chemical and physical elements of the natural world.,"The systematic study of human society, institutions, cultures, and interactions.","The study of plants, animals, and microscopic biological organisms.",The study of celestial bodies and deep space physical phenomena.,B,1
1172,6,Social,12,Grassroots Democracy - Part 3: Local Government in Urban Areas,5,Services of Urban Local Bodies: The Indore Example and Funding,Which of the following best describes the range of 'services on request' mentioned for the Indore Municipal Corporation?,Only tree cutting and transportation,Only issuing marriage certificates,"Services such as water tanker, septic tanker, auditorium, funeral van, mobile toilet, and ambulance",Only collecting property tax,C,2
489,6,Science,5,Measurement of Length and Motion,5.7,Types of Motion,Which of the following best distinguishes circular motion from linear motion?,"Circular motion never repeats, but linear motion always repeats",Linear motion only happens indoors,Circular motion is always faster than linear motion,"In circular motion the object moves along a circular path, while in linear motion it moves along a straight line",D,2
922,6,Social,10,Grassroots Democracy – Part 1,1,Governance and Government,Which of the following best distinguishes 'governance' from a single act of enforcing one rule?,Governance and rule-breaking mean the same thing,Governance has nothing to do with rules,Governance is only about punishing rule-breakers,"Governance is the overall process of deciding, organising, and ensuring rules are followed, of which enforcing one rule is only a part",D,5
1257,6,Social,13,The Value of Work,3,Value Addition,Which of the following best explains the concept of value addition using Rajesh's example?,Rajesh adds value by buying wood at a low price,Rajesh adds value simply by owning a shop,Rajesh adds value only when he advertises his furniture,"Rajesh adds value by turning raw wood into a finished, more useful and more valuable product",D,2
844,6,Science,9,Methods of Separation in Everyday Life,4,Evaporation,Which of the following best explains the white patches sometimes seen on dark-coloured clothes after sweating in hot summers?,"Sweat (containing dissolved salts) drying up, with water evaporating and leaving salt behind",The cloth reacting with sunlight,Sedimentation of cloth fibres,Dust settling on the cloth,A,2
1234,6,Social,13,The Value of Work,2,Types of Economic Activities and Forms of Payment,Which of the following best explains why a daily wage differs from a monthly salary?,A salary can never be paid to a technician,A daily wage is paid only to farmers,"A daily wage is paid for a specific, often shorter, period of work, while a salary is a fixed regular payment usually paid monthly",A daily wage is always higher than a salary,C,2
1208,6,Social,13,The Value of Work,1,Economic and Non-Economic Activities,Which of the following best explains why a lawyer arguing a case for a fee is engaged in an economic activity?,The lawyer receives payment in exchange for professional service,The lawyer represents only one client,The lawyer works in a courtroom,The lawyer studied for many years,A,2
158,6,Social,2,Oceans and Continents,4,Oceans and Disasters,"Which of the following best explains why 'many countries collaborate' on tsunami early warning systems, based on reasoning from the chapter?","Because international collaboration, per the chapter, is required only for monsoon prediction","Because a tsunami originating in one part of the ocean, like near Indonesia in 2004, can travel thousands of kilometres and affect many countries' coastlines",Because a single country is not legally permitted to build a warning system,Because tsunamis only ever affect the country where the earthquake occurs,B,5
719,6,Social,8,"Unity in Diversity, or 'Many in the One'",1,A Rich Diversity,Which of the following best explains why the chapter opens with quotations from both Rabindranath Tagore and Sri Aurobindo?,Because the chapter has no other way to introduce its topic,To show that Tagore and Aurobindo disagreed with each other,To prove that only poets can understand India's diversity,"To show that the idea of 'many in the one', or unity in diversity, has been expressed by more than one great Indian thinker, reinforcing that it is a fundamental idea",D,5
651,6,Social,7,India's Cultural Roots,3,Vedic Schools of Thought,"Which of the following best explains why the Upanishadic concept of ātman logically requires the idea that ""everything in this world is connected and interdependent""?","Because ātman only exists in humans, not other beings",Because ātman is described as unrelated to brahman,Because the Upanishads reject the idea of a universal reality entirely,"Because ātman, present in every being, is said to ultimately be one with the single universal brahman, linking all beings together",D,5
31,9,Science,2,Cell: The Building Block of Life,,Limits of Resolution and Magnification Scales,Which of the following biological structures is generally visible to the unaided human eye without any microscope?,A mitochondrion,Most plant and animal cells,A virus,A chicken egg,D,1
1103,6,Social,12,Grassroots Democracy - Part 3: Local Government in Urban Areas,1,The Governance Pyramid: From Rural to Urban,Which of the following cities does the chapter mention as an example of a city more complex and diverse than a village or a town?,Chennai,Bhopal,Shimla,Nashik,A,1
191,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 1),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
200,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 10),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
192,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 2),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
193,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 3),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
194,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 4),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
195,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 5),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
196,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 6),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
197,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 7),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
198,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 8),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
199,8,Mathematics,2,Power Play,2.5,Mathematical Reasoning and Analysis,Which of the following conditions MUST be satisfied for a^(-n) = 1 / (a^n) to hold true universally? (Case 9),a > 0 only,a ≠ 0,n must be positive,a must be a prime,B,5
1030,6,Science,11,Nature’s Treasures,11.3,Energy from the Sun,Which of the following correctly explains how a solar cooker differs from a solar panel in using the Sun's energy?,"A solar cooker converts sunlight into electricity, like a solar panel","A solar cooker uses the Sun's energy directly for cooking, while a solar panel converts the Sun's energy into electricity",A solar cooker works only at night,A solar panel is used only for drying clothes,B,2
419,6,Science,5,Measurement of Length and Motion,5.2,Standard Units,Which of the following correctly explains the relationship between a centimetre and a millimetre?,1 cm is equal to 10 mm,1 cm is equal to 100 mm,1 cm is smaller than 1 mm,1 mm is equal to 10 cm,A,2
825,6,Science,9,Methods of Separation in Everyday Life,2,Threshing and Winnowing,Which of the following correctly orders the steps a farmer would use to get clean wheat grains from freshly harvested stalks lying in the field?,"Threshing, then winnowing","Winnowing, then sieving","Winnowing, then threshing","Sieving, then threshing",A,5
294,9,Social,9,The Price Puzzle: What Drives the Market,,Demand,"Which of the following defines 'demand' in economics, distinguishing it from a mere wish or desire?",The simple wish to possess a luxury item,The willingness to buy a product complemented by the ability or purchasing power to pay for it,The quantity of goods that sellers offer at different prices,The direct intervention of the government to distribute free products,B,2
112,9,Social,4,Early Humans and Beginning of Civilisation,,Periods of Early Human History,Which of the following early human ancestors was the first hominin to exit Africa around 2 million years ago?,Homo sapiens,Homo erectus,Neanderthals,Australopithecus,B,1
1,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 1),0,1,7,9,C,1
10,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 10),0,1,7,9,C,1
11,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 11),0,1,7,9,C,1
12,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 12),0,1,7,9,C,1
13,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 13),0,1,7,9,C,1
14,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 14),0,1,7,9,C,1
15,8,Mathematics,1,A Square and A Cube,1.1,Core Concepts and Definitions,Which of the following ending digits indicates that an integer CANNOT be a perfect square? (Concept 15),0,1,7,9,C,1
